collected_at,country,momentum,country_name,period
2026-06-28,US,43.79,미국,2026-05
2026-06-28,MY,35.21,말레이시아,2026-05
2026-06-28,AE,24.35,UAE,2026-05
2026-06-28,JP,20.68,일본,2026-05
2026-06-28,TR,19.94,터키,2026-05
2026-06-28,CN,19.54,중국,2026-05
2026-06-28,GB,19.37,영국,2026-05
2026-06-28,VN,16.15,베트남,2026-05
2026-06-28,FR,13.55,프랑스,2026-05
2026-06-28,AR,13.32,아르헨티나,2026-05
2026-06-28,ID,13.03,인도네시아,2026-05
2026-06-28,BR,13.02,브라질,2026-05
2026-06-28,ZA,12.11,남아공,2026-05
2026-06-28,IN,10.42,인도,2026-05
2026-06-28,TH,9.48,태국,2026-05
2026-06-28,US,49.16,미국,2026-05
2026-06-28,MY,45.49,말레이시아,2026-05
2026-06-28,AE,29.93,UAE,2026-05
2026-06-28,CN,28.92,중국,2026-05
2026-06-28,JP,26.56,일본,2026-05
2026-06-28,GB,25.09,영국,2026-05
2026-06-28,VN,21.84,베트남,2026-05
2026-06-28,FR,19.48,프랑스,2026-05
2026-06-28,AR,19.23,아르헨티나,2026-05
2026-06-28,ID,18.58,인도네시아,2026-05
2026-06-28,TR,18.0,터키,2026-05
2026-06-28,IN,15.67,인도,2026-05
2026-06-28,TH,15.18,태국,2026-05
2026-06-28,ZA,14.42,남아공,2026-05
2026-06-28,BR,11.43,브라질,2026-05
2026-06-28,US,49.26,미국,2026-05
2026-06-28,MY,45.7,말레이시아,2026-05
2026-06-28,AE,30.08,UAE,2026-05
2026-06-28,CN,28.92,중국,2026-05
2026-06-28,JP,26.59,일본,2026-05
2026-06-28,GB,25.17,영국,2026-05
2026-06-28,VN,21.69,베트남,2026-05
2026-06-28,FR,19.42,프랑스,2026-05
2026-06-28,AR,19.38,아르헨티나,2026-05
2026-06-28,ID,19.08,인도네시아,2026-05
2026-06-28,TR,17.8,터키,2026-05
2026-06-28,IN,16.0,인도,2026-05
2026-06-28,TH,14.97,태국,2026-05
2026-06-28,ZA,14.64,남아공,2026-05
2026-06-28,BR,11.49,브라질,2026-05
2026-06-28,US,49.49,미국,2026-05
2026-06-28,MY,45.67,말레이시아,2026-05
2026-06-28,JP,29.29,일본,2026-05
2026-06-28,VN,29.24,베트남,2026-05
2026-06-28,AE,29.14,UAE,2026-05
2026-06-28,CN,28.92,중국,2026-05
2026-06-28,GB,26.45,영국,2026-05
2026-06-28,ID,24.16,인도네시아,2026-05
2026-06-28,AR,21.74,아르헨티나,2026-05
2026-06-28,FR,21.52,프랑스,2026-05
2026-06-28,TR,19.74,터키,2026-05
2026-06-28,TH,19.22,태국,2026-05
2026-06-28,BR,17.03,브라질,2026-05
2026-06-28,IN,15.79,인도,2026-05
2026-06-28,ZA,13.14,남아공,2026-05
2026-06-28,US,49.13,미국,2026-05
2026-06-28,MY,45.5,말레이시아,2026-05
2026-06-28,AE,29.81,UAE,2026-05
2026-06-28,CN,28.92,중국,2026-05
2026-06-28,JP,26.53,일본,2026-05
2026-06-28,GB,25.35,영국,2026-05
2026-06-28,VN,21.79,베트남,2026-05
2026-06-28,FR,19.42,프랑스,2026-05
2026-06-28,AR,19.26,아르헨티나,2026-05
2026-06-28,ID,18.65,인도네시아,2026-05
2026-06-28,TR,17.98,터키,2026-05
2026-06-28,IN,16.02,인도,2026-05
2026-06-28,TH,15.1,태국,2026-05
2026-06-28,ZA,14.33,남아공,2026-05
2026-06-28,BR,11.38,브라질,2026-05
